Neighborhood,Year,AvgPrice
Sant Gervasi – Galvany,2021,1012532.6086956522
La Marina de Port,2020,255340.32697547684
"""El Poble-sec, Barcelona""",2020,293579.55524861877
La Marina del Prat Vermell,2020,312388.0
Sant Gervasi – Galvany,2020,1061747.641509434
El Putxet i el Farró,2020,631313.2530120482
Sarrià,2020,1767479.0697674418
Sant Gervasi – la Bonanova,2020,1649218.2254196643
Les Tres Torres,2020,1266493.1506849315
Pedralbes,2020,1830192.118226601
Les Corts,2020,587766.4882506528
"""Vallvidrera, el Tibidabo i les Planes""",2020,1128878.756476684
La Maternitat i Sant Ramon,2020,408594.9716713881
Vila de Gràcia,2020,713384.0
Vallcarca i els Penitents,2020,447987.012987013
La Salut,2020,493500.0
el Coll,2020,238333.33333333334
Sant Genís dels Agudells,2020,291735.29411764705
La Bordeta,2020,282406.75155279506
Sants,2020,334970.709382151
La Font de la Guatlla,2020,387912.0689655172
Hostafrancs,2020,288361.1111111111
La Teixonera,2020,226650.0
L'Antiga Esquerra de l'Eixample,2020,733136.0946745562
La Nova Esquerra de l'Eixample,2020,503149.6438053097
Sant Antoni,2020,512640.46692607005
El Raval,2020,346290.32258064515
"""El Poble-sec, Barcelona""",2021,192857.14285714287
Vall d'Hebron,2020,285600.0
"""Horta, Barcelona""",2020,289633.3333333333
Canyelles,2020,198000.0
Ciutat Meridiana,2020,117250.0
Sants-Badal,2020,253516.9851301115
Dreta de l'Eixample,2020,1285752.1126760563
Fort Pienc,2020,420000.0
"""Sant Pere, Santa Caterina i la Ribera""",2020,768333.3333333334
Camp d'en Grassot i Gràcia Nova,2020,558231.7073170731
La Font d'en Fargues,2020,278000.0
Can Baró,2020,432370.3703703704
La Marina de Port,2021,255024.07407407407
Sants,2021,406766.6666666667
La Bordeta,2021,286418.5483870968
La Font de la Guatlla,2021,327526.3157894737
Hostafrancs,2021,215000.0
Dreta de l'Eixample,2021,1102422.540250447
Vila de Gràcia,2021,710888.8888888889
Camp d'en Grassot i Gràcia Nova,2021,465076.92307692306
Gothic Quarter,2020,723571.4285714285
El Raval,2021,371778.21301775146
Gothic Quarter,2021,683481.5359477124
"""Sant Pere, Santa Caterina i la Ribera""",2021,739158.6206896552
L'Antiga Esquerra de l'Eixample,2021,756820.779661017
Sant Antoni,2021,800777.7777777778
El Carmel,2021,196255.55555555556
La Teixonera,2021,261128.57142857142
El Baix Guinardó,2021,325000.0
Can Baró,2021,426625.0
La Font d'en Fargues,2021,522500.0
Vallcarca i els Penitents,2021,513500.0
La Salut,2021,452388.8888888889
el Coll,2021,345000.0
Sants-Badal,2021,232000.0
La Maternitat i Sant Ramon,2021,405947.36842105264
Les Corts,2021,568653.8461538461
La Nova Esquerra de l'Eixample,2021,674800.0
Sant Gervasi – la Bonanova,2021,735000.0
Les Tres Torres,2021,2750000.0
El Baix Guinardó,2020,331852.9411764706
Sagrada Família,2020,405625.0
El Carmel,2020,237278.94736842104
Vilapicina i la Torre Llobeta,2020,333500.0
Can Peguera,2020,238571.42857142858
El Guinardó,2020,301909.0909090909
El Congrés i els Indians,2020,320000.0
Trinitat Vella,2020,140642.85714285713
Sant Andreu de Palomar,2020,368950.0
Navas,2020,309000.0
La Prosperitat,2020,166985.7142857143
Les Roquetes,2020,178500.0
Porta,2020,182958.33333333334
El Camp de l'Arpa del Clot,2020,320000.0
Verdun,2020,157250.0
La Trinitat Nova,2020,159000.0
