Neighborhood,AvgIncome-2007-2017,AvgPrice-2020-2021
Fort Pienc,104.5,420000.0
Sagrada Família,97.54545454545452,405625.0
Sant Antoni,99.94545454545454,522389.4736842105
La Marina de Port,72.42727272727274,255299.76247030878
Sants,87.80000000000001,338708.45986984816
Les Corts,126.7090909090909,587139.053030303
Sant Gervasi – la Bonanova,186.79090909090908,1642688.0952380951
Sant Gervasi – Galvany,191.56363636363633,1056930.8510638298
El Putxet i el Farró,143.84545454545457,631313.2530120482
Can Baró,81.53636363636363,431057.14285714284
La Teixonera,71.89999999999999,235588.88888888888
"""Horta, Barcelona""",81.68181818181819,289633.3333333333
Vilapicina i la Torre Llobeta,72.43636363636364,333500.0
Les Roquetes,53.8,178500.0
Navas,83.12727272727273,309000.0
Gothic Quarter,98.14545454545456,684378.1150159744
La Marina del Prat Vermell,56.15454545454545,312388.0
La Font de la Guatlla,82.03636363636363,383341.0358565737
Les Tres Torres,217.5,1276585.0340136054
Vallcarca i els Penitents,110.1909090909091,449645.56962025317
La Font d'en Fargues,101.9,339125.0
El Carmel,60.86363636363637,224092.85714285713
Sant Genís dels Agudells,83.08181818181818,291735.29411764705
Porta,65.69999999999999,182958.33333333334
Can Peguera,49.84545454545455,238571.42857142858
Canyelles,64.53636363636363,198000.0
Verdun,55.23636363636364,157250.0
La Prosperitat,60.881818181818176,166985.7142857143
La Trinitat Nova,43.599999999999994,159000.0
Ciutat Meridiana,44.45454545454545,117250.0
Trinitat Vella,56.300000000000004,140642.85714285713
Sant Andreu de Palomar,79.31818181818181,368950.0
El Camp de l'Arpa del Clot,83.96363636363637,320000.0
El Raval,66.31818181818181,367827.59
Dreta de l'Eixample,155.25454545454545,1123083.492063492
L'Antiga Esquerra de l'Eixample,126.95454545454544,739265.0263157894
La Nova Esquerra de l'Eixample,110.32727272727274,505027.65645514225
"""El Poble-sec, Barcelona""",73.0,291668.8319783198
Hostafrancs,81.16363636363637,287855.1724137931
La Bordeta,75.61818181818181,283305.78072289156
Sants-Badal,79.12727272727273,252820.39208633095
La Maternitat i Sant Ramon,118.24545454545455,408459.7446236559
Pedralbes,228.99999999999997,1830192.118226601
Sarrià,185.66363636363636,1767479.0697674418
el Coll,88.71818181818183,253571.42857142858
La Salut,112.22727272727273,482928.5714285714
Vila de Gràcia,104.81818181818181,712940.7894736842
Camp d'en Grassot i Gràcia Nova,102.44545454545455,545484.2105263158
El Baix Guinardó,90.95454545454545,330974.358974359
El Guinardó,85.58181818181816,301909.0909090909
Vall d'Hebron,92.30909090909091,285600.0
El Congrés i els Indians,75.74545454545455,320000.0
