Producte;Kcalories;Proteines;HidratsCarboni;Sucres;Greixos;GreixosSaturats;Fibra;Sodi
Zumo de naranja;45;0,6;10;10;0,1;0;0,2;0,002
Leche entera;62;3;4,5;4,5;3,6;2,43;0;0,05
Bebida de soja;33;3,6;0,7;0,6;1,8;0,3;1;0,04
Margarina vegetal ligera;370;2;0,1;0,1;40;11;0;0,29
Te sin azucar;6;0;0;0;0;0;0;0
Cereales con chocolate;445;6;75;29;13;4,6;2;0,25
Pasta con vegetales;344;12;67;4;2;0,5;5;0,02
Chocolate soluble;378;6,9;78;70;2,4;1,5;8,4;0,1
Miel de flores;290;0,6;71,8;71,8;0;0;0;0
Edulcorante granulado;351;3,2;84,6;84,6;0;0;0,6;0,66
Pan rayado;365;9,6;77,3;3,1;1,2;0,3;3,2;0
Espinacas frescas;23;2,4;1,9;0;0,2;0;2,1;0,06
Galletas fibra-chocolate;498;6,1;64,2;23,6;23,5;12,7;2,8;0,55
Yogourt griego con fresa;147;1,9;17,2;13,2;7,8;5,2;0;0,04
Panzerotti ricota-espinacas;280;11;40;1,3;8;3,8;2,3;0,47
Danonino;109;6,4;14,2;13,4;2,7;1,7;1,3;0,04
Chocolate negro intenso;590;8;30,7;26,4;44,9;26,6;15,3;8
Galletas chocolate;482;6;69;36;20;10;1;0,2
Galletas clasicas;472;5,9;71,5;18,7;18;9,9;2,4;0,15
Bizcochito fruta-fibra;383;4;58;38;13;1;9;0,18
Pan tostado;390;10;74;4,9;6;2,6;4,3;0,42
Chocolate soluble light;0,2;0;0;0;0;0;0;0
Preparado lácteo;77;2,7;13,5;11;1,4;0,9;0;0,04
Reductor colesterol;83;3;15,1;13;1,2;0,6;0,3;0,2
Queso fresco Quark;132;11,1;4,4;4,4;7,7;4,6;0;0,05
Mousse;113;3,2;10,1;10,1;6,6;4;0;0,02
Yogourt light;51;5,1;5,5;5,5;0,5;0,26;0;0,07
Queso rayado Emmental;365;28,3;0;0;28;19,9;0;0,29
Lomo embutido;212;38;0;0;6,7;2,3;0;1,17
Queso fresco de burgos;199;10,7;3,6;3,6;15,5;10,8;1,5;0,31
Gofres;444;5;55,4;29,6;22,3;11,7;0,9;0,23
Filetes de Anchoa;179;24,6;0,7;0;8,6;2,2;0;6,08
Chocolate blanco;540;5;62,5;59,7;30;19,4;0;0,09
Patatas fritas light;458;7,3;59;0,8;20,1;2,3;6,1;0,9
Tortitas de maiz;406;9;87;1;2;0,3;2;0,3
Atún claro;247;22,6;0,2;0;17,3;2,7;0;0,51
Cereales con chocolate;431;6,6;69,7;31,3;12,6;2;6,2;0,13
Almohadillas choco;397;10;64;19;9;5;10;0,02
Galletas;447;7,5;68,5;26,4;15;7,8;4,3;0,5
Lentejas;96;7,9;9,4;1,8;1,8;0,9;5,3;0,15
Zumo de naranja;41;0,6;9,5;8,9;0,1;0;0,6;0
Queso cremoso;202;8,3;4;4;17;11,2;2;0,5
Reductor colesterol;45;3,2;4,7;4,3;1,1;0,1;0,1;0,05
Arroz integral;183;4,9;30,6;0,5;3,8;0,7;1,5;0,2
Lomo embuchado;223;35;0,5;0,5;9;3;0;1
Soja;45;3,7;2,5;2,5;2,2;0,4;0,6;0,06
Sardinas;212;19,3;0;0;15;3,1;0;0,2
Uva en almíbar;67;0,4;15,5;15,3;0,1;0,1;1;0,006
Crema de verduras;70;1;6;3,5;4,5;2;1,5;0,31
Pasta con vegetales;354;11;72;3,5;1,5;0,3;4;0,03
Piña en almíbar;69;0,4;15,5;0,1;0,1;0;0,8;0,001
Tostadas integrales;377;10,6;71;4,3;4,7;1,9;4,3;0,57
Arroz blanco;343;6,8;78;0;0,45;0,1;1;0,04
Galletas Maria;436;7,4;77;23;11;2,1;2;0,31
Mezcla de setas;16;1,2;1,5;0;0,2;0,1;1,5;0,02
Merluza;71;16,9;0;0;0,4;0,1;0;0,2
Preparado de paella;75;7,8;4,3;1,8;2,6;0,5;1,9;0,57
Cuajada;137;7,94;3,58;3,1;10,13;6,6;0,5;0,1
