"Variety";"Yield";"Moisture"
"1";41;10
"1";69;57
"1";53;32
"1";66;52
"1";64;47
"1";64;48
"2";49;30
"2";44;21
"2";44;20
"2";46;26
"2";57;44
"2";42;19
"3";69;50
"3";62;40
"3";50;23
"3";76;58
"3";48;21
"3";55;30
"4";48;22
"4";60;40
"4";45;17
"4";47;21
"4";62;44
"4";43;13
"5";65;49
"5";63;44
"5";71;57
"5";68;51
"5";52;27
"5";68;52
"6";76;55
"6";46;11
"6";45;11
"6";67;43
"6";65;38
"6";79;60
"7";35;17
"7";37;20
"7";30;11
"7";30;10
"7";57;48
"7";49;36
"8";75;57
"8";64;41
"8";46;15
"8";54;28
"8";52;23
"8";52;23
"9";51;26
"9";63;44
"9";42;13
"9";61;40
"9";67;48
"9";69;53
"10";60;37
"10";73;58
"10";66;44
"10";71;53
"10";67;48
"10";74;59
